# iteration	testing	training
0001000	0.639431616341	0.652451787558
0002000	0.11466350898	0.126426837096
0003000	0.0621669626998	0.0691021740951
0004000	0.0548648115256	0.0645251318691
0005000	0.0438129070456	0.0495939270464
0006000	0.0290112492599	0.0361697971031
0007000	0.0250641405171	0.0277971588848
0008000	0.0207223208999	0.0210990483101
0009000	0.0238800078942	0.0232201166588
0010000	0.0228932307085	0.0182244425218
0011000	0.0197355437142	0.0179732633753
